date,country,region,accomodation type,price,currency,memo
2022/12/26,Bolivia,Santa Cruz de la Sierra,dormitory,10,USD,
2022/12/27,Bolivia,Santa Cruz de la Sierra,dormitory,10,USD,
2022/12/28,Bolivia,Santa Cruz de la Sierra,dormitory,10,USD,
2022/12/29,Bolivia,-,bus,-,-,
2022/12/30,Bolivia,Tarija,single room,11.57,USD,
2022/12/31,Bolivia,Tarija,single room,11.57,USD,
2023/1/1,Bolivia,Tarija,single room,11.57,USD,
2023/1/2,Bolivia,-,bus,-,-,
2023/1/3,Argentina,Jujuy,dormitory,9474.56,ARS,
2023/1/4,Argentina,Salta,dormitory,10675,ARS,
2023/1/5,Argentina,Salta,dormitory,10675,ARS,
2023/1/6,Argentina,Cafayate,dormitory,12583,ARS,
2023/1/7,Argentina,-,bus,-,-,
2023/1/8,Argentina,Corrientes,single room,24000,ARS,
2023/1/9,Argentina,Puerto Iguazu,dormitory,12386,ARS,
2023/1/10,Argentina,Puerto Iguazu,dormitory,12386,ARS,
2023/1/11,Paraguay,Yguazú ,single room,20,USD,Minsyuku Kobayashi
2023/1/12,Paraguay,Yguazú ,single room,20,USD,Minsyuku Kobayashi
2023/1/13,Paraguay,Yguazú ,single room,20,USD,Minsyuku Kobayashi
2023/1/14,Paraguay,Yguazú ,single room,10,USD,Pension Sonoda
2023/1/15,Paraguay,Encarnación,dormitory,7.2,USD,
2023/1/16,Paraguay,Encarnación,dormitory,7.2,USD,
2023/1/17,Paraguay,Ciudad de Asunción,dormitory,9.5,USD,
2023/1/18,Paraguay,Ciudad de Asunción,dormitory,9.5,USD,
2023/1/19,Argentina,Resistencia,single room,20388.39,ARS,
2023/1/20,Argentina,Santa Fe de la Vera Cruz,dormitory,8882.4,ARS,
2023/1/21,Argentina,Santa Fe de la Vera Cruz,dormitory,8882.4,ARS,
2023/1/22,Argentina,Córdoba,dormitory,10362.8,ARS,
2023/1/23,Argentina,Córdoba,dormitory,10362.8,ARS,
2023/1/24,Argentina,-,bus,-,-,
2023/1/25,Argentina,Bahía Blanca,single room,25906.99,ARS,
2023/1/26,Argentina,Mar del Plata,dormitory,17024.6,ARS,
2023/1/27,Argentina,Mar del Plata,dormitory,5000,ARS,
2023/1/28,Argentina,La Plata,single room,76000,ARS,
2023/1/29,Argentina,Ciudad Autónoma de Buenos Aires,dormitory,11843,ARS,
2023/1/30,Argentina,Ciudad Autónoma de Buenos Aires,dormitory,11843,ARS,
